UID,SID,SchoolName,BarName,RC_Masks_customer,RC_Masks_staff,RC_distance,Drink_Specials,alcohol_togo,Beer_Price,Vodka_price,Cigarettes_inside,Ecig_inside,City,State,togo_cat_raw,alcohol to-go Mixed Drinks Beer Wine,beer,wine,mixed_drinks
1,1,University of Louisville,The Granville Inn,1,1,1,1,0,4,4.5,0,0,Louisville,KY,,,0,0,0
3,3,Georgia State University,Harold's Chicken & Ice Bar,0,0,0,1,0,4,5,0,0,Atlanta,GA,,,0,0,0
5,5,University of Alaska Southeast,Sandbar & Grill,1,1,1,0,0,4,5.5,0,0,Juneau,AK,,N/A,0,0,0
6,6,Indiana University-Purdue University-Indianapolis,Stacked Pickle,,,,,,,,,,Indianapolis,IN,,,,,
8,8,University of Illinois at Chicago,Output Tavern,1,1,1,0,0,5,5.5,0,0,Chicago,IL,,N/A,0,0,0
9,9,Wayne State University,Jolly Pumpkin Pizzeria & Brewery,1,1,1,0,1,6.5,8.5,0,0,Detroit,MI,B,B,1,0,0
10,10,Black Hills State University,Z Bar and Nightclub,0,0,,1,,,,,,Spearfish,SD,,,,,
11,11,North Dakota State University-Main Campus,Buffalo Wild Wings,0,1,1,1,0,5,3,0,0,Fargo,ND,,N/A,0,0,0
18,18,University of Vermont,Radio Bean,,,,,,,,,,Burlington,VT,,,,,
22,23,University of Nevada- Las Vegas,The Garage,1,1,0,1,0,3.5,4,0,0,Las Vegas,NV,,N/A,0,0,0
23,24,Central Connecticut State University,Bar On Cedar The LLC,,,,,,,,,,Newington,CT,,,,,
26,27,University of Massachusetts-Amherst,Murphy's Uptown Tavern,,,,,,,,,,Amherst,MA,,,,,
27,28,University of Illinois at Urbana-Champaign,Hooters,,,,,,,,,,Champaign,IL,,,,,
28,29,University of Mississippi,The Coop,,,,,,,,,,Oxford,MS,,,,,
29,30,University of Wisconsin-Madison,Ideal Bar,,,,,,,,,,Madison,WI,,,,,
30,31,University of Arkansas at Little Rock,Zack's Place LLC,,,,,,,,,,Little Rock,AR,,,,,
31,32,University of Kansas,Bird Dog Bar at the Oread,1,1,0,1,0,3,4,0,0,Lawrence,KS,,N/A,0,0,0
32,33,Texas A & M University-College Station,The Backyard,1,1,1,0,0,,4.5,0,0,College Station,TX,,N/A,0,0,0
34,35,"University of California, Los Angeles",Barney's Beanery,1,1,1,1,1,5,7,,,Los Angeles,CA,MBW,MBW,1,1,1
37,39,Colorado State University-Fort Collins,Tap and Handle,1,1,1,1,1,5,7,0,0,Fort Collins,CO,all drinks,all drinks,1,1,1
40,42,North Carolina State University at Raleigh,C.Grace,,,,,,,,,,Raleigh,NC,,,,,
41,43,West Virginia University,Scorers,1,1,0,1,0,2,5,0,0,Morgantown,WV,,N/A,0,0,0
42,44,University of Wisconsin-Oshkosh,Peabodys Ale House,0,0,0,1,0,2,2,0,1,Oshkosh,WI,,,0,0,0
43,45,University of Nevada-Reno,1864 Tavern,1,1,0,1,0,,,0,0,Reno,NV,,,0,0,0
46,48,Louisiana State University,The Bleacher's Sports Bar & Grill,,,,,,,,,,Baton Rouge,LA,,,,,
47,49,Clemson University,TD's of Clemson,1,1,1,1,0,,,0,,Clemson,SC,,N,0,0,0
48,50,The University of Montana,Bodega,,,,,,,,,,Missoula,MT,,,,,
51,54,University of Houston,On the Rocks Bar and Lounge,,,,,,,,,,Houston,TX,,,,,
53,56,Rhode Island College,Bradley Café,1,1,0,1,0,4.5,5.5,0,0,Providence,RI,,,0,0,0
54,57,Florida International University,Sports Grill Bird Road,1,1,0,1,1,3.75,,0,1,Miami,FL,,BW,1,1,0
55,59,Ohio State University-Main Campus,King Avenue Five,,,,,,,,,,Columbus,OH,,,,,
57,61,Mississippi State University,Moe's Original BBQ,1,1,1,1,1,4,4,0,0,Starkville,MS,MBW,MBW,1,1,1
58,62,University of North Carolina at Chapel Hill,Back bar,,,,,,,,,,Chapel Hill,NC,,,,,
60,64,University of Minnesota-Twin Cities,Stem Minneapolis,,,,,,,,,,Minneapolis,MN,,,,,
62,67,Idaho State University,Sandbagger's Bar & Grill,0,1,0,1,1,3,4.5,0,0,Pocatello,ID,all drinks,all drinks,1,1,1
63,68,Northern Arizona University,Collins Irish Pub & Grill,1,1,1,1,0,6.5,6.5,0,0,Flagstaff,AZ,,,0,0,0
64,69,Indiana University-Bloomington,Lennie's and the Bloomington Brewing Co. Brewpub,,,,1,,5.75,7,0,0,Bloomington,IN,,,,,
65,70,University of Maryland- Baltimore County,Fish Head Cantina,1,1,1,1,0,4.25,6.54,0,0,Halethorpe,MD,,N/A,0,0,0
68,73,Great Basin College,Desert Rose Gentlemen's Club and Legal Brothel,1,1,0,0,0,4.5,6,0,0,Elko,NV,,,0,0,0
69,74,University of Utah,Good Grammar,,,,,,,,,,Salt Lake City,UT,,,,,
71,76,Temple University,Red Top 24 Bar,,,,,,,,,,Philadelphia,PA,,,,,
72,77,Bridgewater State University,Emma's Pub & Pizza,,,,,,,,,,Pittsburgh,PA,,,,,
73,78,Rowan University,Caesar's Lounge & Liquor,1,1,,1,1,,,,,Glassboro,NJ,MBW (liquor store),MBW (liquor store),1,1,1
75,80,California State University- Northridge,Matador Bowl,1,1,1,1,0,7.5,6.5,0,0,Northridge,CA,,,0,0,0
76,81,University of Southern Maine,Bonfire Country Bar Portland,,,,,,,,,,Portland,ME,,,,,
78,83,The University of Tennessee-Knoxville,Club XYZ,1,1,1,,1,3.5,4.5,0,1,Knoxville,TN,MBW,MBW,1,1,1
79,84,University of Maine,Woodman's Bar & Grill,1,1,1,1,1,6,7,0,0,Orono,ME,,MW,0,1,1
80,85,University of Missouri-St Louis,The Blockhouse Saloon,,,,,,,,,,St. Louis,MO,,,,,
82,87,University of Oklahoma-Norman Campus,Library Bar & Grill,1,1,1,1,0,2.75,2.6,0,0,Normon,OK,,,0,0,0
83,88,University of New Mexico-Main Campus,Carraro's & Joe's Place,,,,,,,,,,Albuquerque,NM,,,,,
84,89,Missouri State University-Springfield,Martha's Vineyard,1,1,1,1,0,2,4,0,0,Springfield,MO,,,0,0,0
86,91,Wichita State University,Twin Peaks Wichita,0,0,0,1,0,3.5,3.99,0,0,Wichita,KS,,,0,0,0
87,92,Utah State University,Buffalo Wild Wings,1,1,1,0,0,3,5.25,0,0,Logan,UT,,N/A,0,0,0
88,93,University of Oregon,The Paddock,1,1,1,1,0,3.25,5,0,0,Eugene,OR,,,0,0,0
90,95,University of Michigan-Ann Arbor,HopCat,1,1,0,1,1,3,5,0,0,Ann Arbor,MI,beer,beer,1,0,0
